City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yinchuan,38.4681,106.2731,29.62,55,60,9.31,CN,1610570506
1,ushuaia,-54.8,-68.3,59.0,51,75,5.75,AR,1610570326
2,cape town,-33.9258,18.4232,75.0,64,0,6.91,ZA,1610570317
3,hofn,64.2539,-15.2082,39.97,90,100,18.34,IS,1610570487
4,fort saint james,54.4333,-124.25,29.98,90,92,6.2,CA,1610570507
5,bluff,-46.6,168.3333,59.0,94,12,10.0,NZ,1610570507
6,rikitea,-23.1203,-134.9692,77.92,77,47,14.34,PF,1610570392
7,aktau,43.65,51.2,35.6,69,40,24.61,KZ,1610570508
8,atuona,-9.8,-139.0333,77.52,78,53,15.93,PF,1610570508
9,tasiilaq,65.6145,-37.6368,32.0,86,75,35.68,GL,1610570508
10,thompson,55.7435,-97.8558,30.2,100,90,4.61,CA,1610570490
11,xichang,27.8964,102.2634,39.0,61,0,1.3,CN,1610570508
12,new norfolk,-42.7826,147.0587,59.0,66,1,5.01,AU,1610570408
13,straz pod ralskem,50.7028,14.801,32.0,10,100,10.4,CZ,1610570509
14,esqueda,30.7167,-109.5833,61.99,22,0,5.1,MX,1610570509
15,cansahcab,21.1667,-89.1,72.0,88,90,5.75,MX,1610570509
16,rio gallegos,-51.6226,-69.2181,71.6,24,0,6.91,AR,1610570481
17,cayenne,4.9333,-52.3333,78.8,94,90,5.75,GF,1610570329
18,punta arenas,-53.15,-70.9167,57.2,54,90,24.16,CL,1610570308
19,saint-philippe,-21.3585,55.7679,80.6,83,75,3.44,RE,1610570510
20,koumac,-20.5667,164.2833,77.67,91,100,4.68,NC,1610570511
21,ponta do sol,32.6667,-17.1,57.2,54,20,6.91,PT,1610570458
22,kapaa,22.0752,-159.319,78.8,61,1,0.65,US,1610570392
23,mahon,39.8885,4.2658,46.4,87,0,8.05,ES,1610570511
24,plettenberg bay,-34.0527,23.3716,70.0,89,13,13.53,ZA,1610570511
25,whitianga,-36.8333,175.7,73.99,74,29,1.99,NZ,1610570512
26,liberia,6.5,-9.5,72.7,96,100,2.98,LR,1610570512
27,cherskiy,68.75,161.3,-14.76,89,100,3.0,RU,1610570512
28,carnarvon,-24.8667,113.6333,77.0,94,23,17.27,AU,1610570512
29,puerto ayora,-0.7393,-90.3518,87.8,55,40,16.11,EC,1610570382
30,botou,38.0667,116.5667,26.22,90,0,6.11,CN,1610570513
31,petatlan,17.5167,-101.2667,89.6,62,75,8.05,MX,1610570513
32,port hardy,50.6996,-127.4199,44.6,81,75,5.75,CA,1610570416
33,bulgan,48.8125,103.5347,-3.35,87,53,3.67,MN,1610570513
34,albany,42.6001,-73.9662,36.0,64,84,2.37,US,1610570331
35,chokurdakh,70.6333,147.9167,-33.99,83,78,5.01,RU,1610570514
36,shache,38.4167,77.2406,31.87,60,0,5.3,CN,1610570514
37,masuguru,-11.3667,38.4167,73.83,94,71,4.18,TZ,1610570514
38,mgandu,-5.95,34.1333,61.21,94,80,2.59,TZ,1610570514
39,stornoway,58.2093,-6.3865,41.0,93,40,13.8,GB,1610570514
40,sioux lookout,50.1001,-91.917,26.6,93,90,3.44,CA,1610570515
41,andenes,69.3143,16.1194,30.2,80,75,11.5,NO,1610570515
42,upernavik,72.7868,-56.1549,10.35,96,100,17.65,GL,1610570515
43,itapirapua,-15.8233,-50.6133,84.33,69,94,3.65,BR,1610570515
44,vila franca do campo,37.7167,-25.4333,62.01,94,75,9.22,PT,1610570470
45,kidal,18.4411,1.4078,73.89,18,0,8.48,ML,1610570516
46,nome,64.5011,-165.4064,17.6,86,90,8.05,US,1610570516
47,esperance,-33.8667,121.9,53.6,71,75,5.75,AU,1610570349
48,tiksi,71.6872,128.8694,-33.65,81,37,3.2,RU,1610570517
49,kalevala,65.2,31.1667,-15.56,88,0,3.02,RU,1610570517
50,avarua,-21.2078,-159.775,84.2,74,40,18.41,CK,1610570336
51,krugersdorp,-26.0858,27.7752,68.0,77,100,8.05,ZA,1610570518
52,ati,13.2154,18.3353,74.48,18,0,10.0,TD,1610570238
53,mondolfo,43.7494,13.0979,39.0,93,0,3.44,IT,1610570518
54,bethel,41.3712,-73.414,37.4,56,90,3.44,US,1610570330
55,mataura,-46.1927,168.8643,59.0,94,0,10.0,NZ,1610570518
56,remanso,-9.6179,-42.0831,80.91,67,79,3.53,BR,1610570519
57,yellowknife,62.456,-114.3525,17.01,92,90,10.36,CA,1610570326
58,salinopolis,-0.6136,-47.3561,80.01,83,100,10.94,BR,1610570520
59,mandera,3.9366,41.867,81.79,25,0,8.03,KE,1610570520
60,dzidzantun,21.25,-89.05,73.26,91,95,9.93,MX,1610570520
61,simga,21.6333,81.7,55.98,35,70,5.03,IN,1610570520
62,pisco,-13.7,-76.2167,77.0,65,0,21.85,PE,1610570520
63,launceston,-41.45,147.1667,57.99,88,0,4.61,AU,1610570366
64,kaitangata,-46.2817,169.8464,66.99,93,26,3.0,NZ,1610570337
65,nantucket,41.2835,-70.0995,37.99,65,1,8.05,US,1610570494
66,deputatskiy,69.3,139.9,-37.17,78,62,1.28,RU,1610570521
67,yaan,7.3833,8.5667,80.58,16,0,1.5,NG,1610570521
68,bredasdorp,-34.5322,20.0403,69.8,78,100,10.36,ZA,1610570327
69,hilo,19.7297,-155.09,80.6,57,1,4.14,US,1610570323
70,lompoc,34.6391,-120.4579,68.0,59,1,9.22,US,1610570522
71,airai,-8.9266,125.4092,61.52,100,76,1.45,TL,1610570522
72,lavrentiya,65.5833,-171.0,-5.42,86,99,4.9,RU,1610570448
73,lebu,-37.6167,-73.65,59.34,67,0,14.83,CL,1610570343
74,esfarayen,37.0765,57.5101,33.8,55,0,4.52,IR,1610570523
75,charters towers,-20.1,146.2667,74.1,86,91,9.24,AU,1610570381
76,najran,17.4924,44.1277,53.6,47,0,0.85,SA,1610570422
77,east london,-33.0153,27.9116,73.36,90,100,14.61,ZA,1610570301
78,luena,-11.7833,19.9167,63.91,95,100,2.86,AO,1610570524
79,castro,-24.7911,-50.0119,72.07,88,68,9.84,BR,1610570327
80,washington,47.5001,-120.5015,46.99,69,1,1.99,US,1610570275
81,fortuna,40.5982,-124.1573,57.99,100,90,1.95,US,1610570525
82,lebanon,36.2081,-86.2911,48.99,49,1,13.8,US,1610570281
83,guerrero negro,27.9769,-114.0611,72.59,19,0,5.44,MX,1610570479
84,kingisepp,59.3733,28.6134,7.56,92,100,7.85,RU,1610570526
85,busselton,-33.65,115.3333,55.99,72,98,1.01,AU,1610570326
86,rocha,-34.4833,-54.3333,70.81,38,0,12.44,UY,1610570527
87,katsuura,35.1333,140.3,41.0,56,20,6.91,JP,1610570481
88,yulara,-25.2406,130.9889,84.2,21,0,6.91,AU,1610570396
89,souillac,-20.5167,57.5167,77.0,94,75,2.3,MU,1610570528
90,salalah,17.0151,54.0924,75.2,25,0,10.36,OM,1610570528
91,saint anthony,45.0205,-93.218,39.99,70,90,1.88,US,1610570528
92,atar,20.5169,-13.0499,64.35,26,62,10.89,MR,1610570332
93,stolin,51.8912,26.846,24.24,98,100,5.44,BY,1610570529
94,comodoro rivadavia,-45.8667,-67.5,66.2,68,75,14.97,AR,1610570529
95,constitucion,-35.3333,-72.4167,65.19,47,0,16.58,CL,1610570456
96,qaanaaq,77.484,-69.3632,-2.2,82,0,4.38,GL,1610570530
97,barrow,71.2906,-156.7887,-5.8,84,1,18.41,US,1610570427
98,yenagoa,4.9247,6.2642,77.65,84,23,7.4,NG,1610570346
99,sobolevo,54.4299,31.8996,16.25,96,100,13.8,RU,1610570530
100,pedernales,18.0384,-71.744,81.84,54,5,4.9,DO,1610570530
101,adrar,20.5022,-10.0711,65.64,25,0,12.59,MR,1610570531
102,ixtapa,20.7,-105.2,71.6,64,90,5.75,MX,1610570531
103,kota belud,6.351,116.4305,77.0,88,20,10.36,MY,1610570531
104,tuktoyaktuk,69.4541,-133.0374,-18.4,83,20,6.02,CA,1610570531
105,champerico,14.3,-91.9167,93.2,52,20,6.91,GT,1610570326
106,beberibe,-4.1797,-38.1306,84.2,70,20,13.8,BR,1610570532
107,villa bruzual,9.3328,-69.1208,86.02,49,90,2.28,VE,1610570532
108,faanui,-16.4833,-151.75,80.92,76,100,15.59,PF,1610570409
109,yumen,40.2833,97.2,22.82,68,100,26.02,CN,1610570532
110,houston,29.7633,-95.3633,60.01,41,1,12.66,US,1610570522
111,dalvik,65.9702,-18.5286,44.6,53,90,14.97,IS,1610570533
112,kavieng,-2.5744,150.7967,82.98,74,85,14.65,PG,1610570340
113,port lincoln,-34.7333,135.8667,58.73,70,13,8.41,AU,1610570533
114,roscommon,53.6333,-8.1833,50.4,97,100,6.87,IE,1610570533
115,khatanga,71.9667,102.5,-27.8,84,100,12.53,RU,1610570534
116,hithadhoo,-0.6,73.0833,82.06,75,100,21.32,MV,1610570395
117,sayyan,15.1718,44.3244,42.08,65,0,2.48,YE,1610570535
118,progreso,21.2833,-89.6667,72.0,88,90,5.75,MX,1610570535
119,mountain home,43.133,-115.6912,44.6,76,90,24.16,US,1610570536
120,port alfred,-33.5906,26.891,66.99,97,100,19.15,ZA,1610570536
121,butaritari,3.0707,172.7902,81.63,76,78,21.18,KI,1610570536
122,lima,-12.0432,-77.0282,75.0,73,0,11.5,PE,1610570372
123,mlonggo,-6.5333,110.7,78.19,88,100,10.67,ID,1610570536
124,hobart,-42.8794,147.3294,60.8,59,75,9.22,AU,1610570515
125,klaksvik,62.2266,-6.589,39.2,81,75,20.71,FO,1610570537
126,atikokan,48.7555,-91.6216,29.93,98,80,2.84,CA,1610570537
127,verkhnevilyuysk,63.4453,120.3167,-24.59,85,99,5.53,RU,1610570537
128,nanortalik,60.1432,-45.2371,29.66,94,100,15.08,GL,1610570396
129,dikson,73.5069,80.5464,-27.58,85,0,7.27,RU,1610570329
130,camargo,27.6667,-105.1667,60.49,28,0,3.02,MX,1610570538
131,marsa matruh,31.3525,27.2453,57.2,62,20,13.8,EG,1610570538
132,whithorn,18.2604,-78.0378,84.99,74,20,17.27,JM,1610570538
133,bako,5.7833,36.5667,68.7,51,13,1.59,ET,1610570538
134,leh,34.1667,77.5833,4.91,26,0,0.96,IN,1610570539
135,tshane,-24.0196,21.8684,83.3,37,88,7.02,BW,1610570539
136,arti,56.4234,58.5328,-12.41,87,0,2.73,RU,1610570539
137,kruisfontein,-34.0033,24.7314,71.01,89,98,7.0,ZA,1610570397
138,leningradskiy,69.3833,178.4167,-13.09,88,100,8.41,RU,1610570416
139,merauke,-8.4667,140.3333,81.21,80,100,3.27,ID,1610570540
140,luderitz,-26.6481,15.1594,67.28,81,27,5.39,NA,1610570333
141,mingshui,36.7167,117.5,39.0,51,0,9.98,CN,1610570540
142,gizo,-8.103,156.8419,83.41,73,67,11.65,SB,1610570540
143,afua,-0.1567,-50.3867,80.04,83,89,7.58,BR,1610570541
144,ancud,-41.8697,-73.8203,66.2,55,0,9.22,CL,1610570541
145,jamestown,42.097,-79.2353,36.0,86,1,10.85,US,1610570446
146,jalpan,21.2333,-99.4833,69.37,41,25,5.59,MX,1610570541
147,acapulco,16.8634,-99.8901,86.0,62,90,6.91,MX,1610570542
148,saint-augustin,51.226,-58.6502,20.5,91,38,3.71,CA,1610570542
149,te anau,-45.4167,167.7167,65.34,68,19,3.69,NZ,1610570326
150,bandarbeyla,9.4942,50.8122,73.02,78,27,24.76,SO,1610570542
151,dongying,37.4564,118.4856,30.67,89,0,9.98,CN,1610570543
152,melo,-32.3667,-54.1833,71.69,56,0,16.87,UY,1610570543
153,kawalu,-7.3817,108.2082,72.48,89,100,2.8,ID,1610570543
154,basco,20.4487,121.9702,70.29,78,78,22.12,PH,1610570543
155,cabo san lucas,22.8909,-109.9124,77.0,40,75,8.05,MX,1610570543
156,vaini,-21.2,-175.2,82.4,83,40,10.36,TO,1610570383
