City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Taltal,-25.4,-70.4833,70.29,59,20,6.91,CL,2021-01-12 18:18:52
1,Severo-Kurilsk,50.6789,156.125,17.82,89,96,11.97,RU,2021-01-12 18:18:52
2,Souillac,-20.5167,57.5167,77.0,100,75,14.97,MU,2021-01-12 18:18:53
3,Auch,43.65,0.5833,44.01,62,91,5.01,FR,2021-01-12 18:18:53
4,Quibdo,5.6947,-76.6611,91.56,52,45,2.73,CO,2021-01-12 18:18:53
5,Butaritari,3.0707,172.7902,81.3,80,90,20.85,KI,2021-01-12 18:18:53
6,Vaini,-21.2,-175.2,78.8,94,75,6.91,TO,2021-01-12 18:18:54
7,Saint George,37.1041,-113.5841,33.8,37,1,2.73,US,2021-01-12 18:14:12
8,Hasaki,35.7333,140.8333,33.8,100,20,3.44,JP,2021-01-12 18:18:55
9,Albany,42.6001,-73.9662,35.01,58,100,1.99,US,2021-01-12 18:18:55
10,Bose,45.4612,8.0137,35.01,74,0,2.24,IT,2021-01-12 18:18:56
11,Hermiston,45.8404,-119.2895,55.0,87,75,5.75,US,2021-01-12 18:18:56
12,Yulara,-25.2406,130.9889,80.6,22,1,5.75,AU,2021-01-12 18:18:57
13,Sarkand,45.41,79.9186,27.18,91,100,2.01,KZ,2021-01-12 18:18:57
14,Mataura,-46.1927,168.8643,55.99,86,48,1.01,NZ,2021-01-12 18:18:57
15,Cleveland,41.4995,-81.6954,30.2,74,90,10.36,US,2021-01-12 18:18:57
16,Xining,36.6167,101.7667,15.35,64,0,3.71,CN,2021-01-12 18:18:58
17,Fukue,32.6881,128.8419,48.22,58,99,12.97,JP,2021-01-12 18:18:58
18,Port Alfred,-33.5906,26.891,68.0,95,96,1.99,ZA,2021-01-12 18:18:59
19,Vila Franca Do Campo,37.7167,-25.4333,60.8,94,75,16.11,PT,2021-01-12 18:18:59
20,Zavodoukovsk,56.5042,66.5515,-15.86,88,100,5.84,RU,2021-01-12 18:18:59
21,Geraldton,-28.7667,114.6,69.8,83,90,14.97,AU,2021-01-12 18:19:00
22,Bluff,-46.6,168.3333,55.99,86,65,1.01,NZ,2021-01-12 18:19:00
23,Khudumelapye,-23.8833,24.75,81.79,44,42,5.17,BW,2021-01-12 18:19:00
24,Amantea,39.1332,16.0746,50.0,100,90,3.44,IT,2021-01-12 18:19:00
25,Upernavik,72.7868,-56.1549,17.17,96,100,6.8,GL,2021-01-12 18:19:00
26,Saint-Pierre,-21.3393,55.4781,78.8,89,90,3.44,RE,2021-01-12 18:19:01
27,Cayenne,4.9333,-52.3333,80.6,83,75,9.22,GF,2021-01-12 18:19:01
28,Bathsheba,13.2167,-59.5167,80.6,74,75,14.97,BB,2021-01-12 18:19:01
29,Arraial Do Cabo,-22.9661,-42.0278,87.8,65,20,19.57,BR,2021-01-12 18:14:46
30,Ribeira Grande,38.5167,-28.7,60.8,94,75,12.66,PT,2021-01-12 18:19:01
31,Namatanai,-3.6667,152.4333,80.47,79,44,10.31,PG,2021-01-12 18:19:02
32,Hobart,-42.8794,147.3294,55.0,87,90,5.55,AU,2021-01-12 18:19:02
33,Ayan,56.45,138.1667,-18.17,76,0,3.49,RU,2021-01-12 18:19:02
34,Qaanaaq,77.484,-69.3632,10.65,83,96,8.23,GL,2021-01-12 18:19:02
35,Faanui,-16.4833,-151.75,80.73,78,100,19.51,PF,2021-01-12 18:19:03
36,Ushuaia,-54.8,-68.3,50.0,43,40,21.85,AR,2021-01-12 18:16:32
37,Palasa,18.7667,84.4167,69.58,80,0,1.92,IN,2021-01-12 18:19:03
38,Nanortalik,60.1432,-45.2371,32.38,92,100,7.74,GL,2021-01-12 18:19:03
39,Chokurdakh,70.6333,147.9167,-36.24,84,27,1.16,RU,2021-01-12 18:19:04
40,Bajil,15.0584,43.2851,74.73,65,4,8.95,YE,2021-01-12 18:19:04
41,Nantucket,41.2835,-70.0995,39.2,65,1,8.05,US,2021-01-12 18:19:04
42,Jodar,37.8406,-3.3526,42.01,74,0,1.01,ES,2021-01-12 18:19:04
